#Organism/Name,Strain,CladeID,BioSample,BioProject,Group,SubGroup,Assembly,Size (Mb),GC%,Replicons,WGS,Scaffolds,Genes,Proteins,Release Date,Modify Date,Level,RefSeq FTP,GenBank FTP
"Candidatus Gullanella endobia","",52499,SAMEA3725906 ,PRJEB12067,"Proteobacteria","Gammaproteobacteria",GCA_900048035.1 ,0.938041,28.9,chromosome I:NZ_LN999832.1/LN999832.1,-,1,525,464,2016/03/26,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/048/035/GCF_900048035.1_GEFVIR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/048/035/GCA_900048035.1_GEFVIR
"Candidatus Hoaglandella endobia","",52498,SAMEA3725908 ,PRJEB12071,"Proteobacteria","Gammaproteobacteria",GCA_900044015.1 ,0.636713,42.7415,chromosome I:NZ_LN999835.1/LN999835.1; plasmid II:NZ_LN999836.1/LN999836.1; plasmid III:NZ_LN999837.1/LN999837.1,-,3,573,515,2016/03/26,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/044/015/GCF_900044015.1_HETPER1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/044/015/GCA_900044015.1_HETPER1
"Candidatus Mikella endobia","",52503,SAMEA3725907 ,PRJEB12069,"Proteobacteria","Gammaproteobacteria",GCA_900048045.1 ,0.352837,30.6,chromosome I:NZ_LN999831.1/LN999831.1,-,1,325,273,2016/03/26,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/048/045/GCF_900048045.1_MEPMAR,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/048/045/GCA_900048045.1_MEPMAR
"Helicobacter himalayensis","YS1",52534,SAMN04578135 ,PRJNA316195,"Proteobacteria","delta/epsilon subdivisions",GCA_001602095.1 ,1.82994,39.9,chromosome:NZ_CP014991.1/CP014991.1,-,1,1752,1661,2016/03/30,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/602/095/GCF_001602095.1_ASM160209v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/095/GCA_001602095.1_ASM160209v1
"Pseudomonas koreensis","D26",19546,SAMN04498955 ,PRJNA312703,"Proteobacteria","Gammaproteobacteria",GCA_001605965.1 ,6.30176,59.6,chromosome:NZ_CP014947.1/CP014947.1,-,1,5778,5576,2016/04/04,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/605/965/GCF_001605965.1_ASM160596v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/605/965/GCA_001605965.1_ASM160596v1
"Psychrobacter alimentarius","PAMC 27889",19517,SAMN04549283 ,PRJNA315071,"Proteobacteria","Gammaproteobacteria",GCA_001606025.1 ,3.34944,42.8823,chromosome:NZ_CP014945.1/CP014945.1; plasmid pPAMC27889:NZ_CP014946.1/CP014946.1,-,2,2794,2700,2016/04/04,2017/10/22,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/606/025/GCF_001606025.1_ASM160602v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/606/025/GCA_001606025.1_ASM160602v1
"Hyphomonadaceae bacterium UKL13-1","",-,SAMN03894414 ,PRJNA312233,"Proteobacteria","Alphaproteobacteria",GCA_001602435.1 ,3.50151,56.1,chromosome:CP012156.1,-,1,3255,2934,2016/03/30,2016/03/30,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/435/GCA_001602435.1_ASM160243v1
"Betaproteobacteria bacterium UKL13-2","",-,SAMN03894415 ,PRJNA312233,"Proteobacteria","Betaproteobacteria",GCA_001602455.1 ,3.38709,55,chromosome:CP012157.1,-,1,3087,2772,2016/03/30,2016/03/30,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/602/455/GCA_001602455.1_ASM160245v1
"Haematospirillum jordaniae","H5569",52411,SAMN04456661 ,PRJNA310863,"Proteobacteria","Alphaproteobacteria",GCA_001611975.1 ,2.46762,55.474,chromosome:NZ_CP014525.1/CP014525.1; plasmid unnamed 1:NZ_CP014526.1/CP014526.1; plasmid unnamed 2:NZ_CP014527.1/CP014527.1,-,3,2309,2205,2016/04/06,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/611/975/GCF_001611975.1_ASM161197v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/611/975/GCA_001611975.1_ASM161197v1
"Sedimenticola thiotaurini","SIP-G1",38180,SAMN03581174 ,PRJNA282984,"Proteobacteria","Gammaproteobacteria",GCA_001007875.1 ,3.96228,57.5722,chromosome:NZ_CP011412.1/CP011412.1; plasmid unnamed:NZ_CP011413.1/CP011413.1,-,2,3680,3597,2015/05/15,2017/04/10,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/007/875/GCF_001007875.1_ASM100787v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/007/875/GCA_001007875.1_ASM100787v1
"Microbulbifer thermotolerans","DAU221",51777,SAMN04556710 ,PRJNA315367,"Proteobacteria","Gammaproteobacteria",GCA_001617625.1 ,3.9384,56.6,chromosome:NZ_CP014864.1/CP014864.1,-,1,3303,3177,2016/04/08,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/617/625/GCF_001617625.1_ASM161762v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/617/625/GCA_001617625.1_ASM161762v1
"Chelatococcus daeguensis","TAD1",21125,SAMN06016468 ,PRJNA353569,"Proteobacteria","Alphaproteobacteria",GCA_001887265.1 ,4.09517,67.9261,chromosome:NZ_CP018095.1/CP018095.1; plasmid pTAD1:NZ_CP018096.1/CP018096.1,-,2,3848,3724,2016/11/29,2017/04/16,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/887/265/GCF_001887265.1_ASM188726v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/887/265/GCA_001887265.1_ASM188726v1
"Polynucleobacter duraquae","MWH-MoK4",19454,SAMN02708862 ,PRJNA240713,"Proteobacteria","Betaproteobacteria",GCA_000973625.1 ,2.02629,45.2,chromosome:NZ_CP007501.1/CP007501.1,-,1,2087,2023,2015/04/20,2017/04/10,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/973/625/GCF_000973625.1_ASM97362v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/973/625/GCA_000973625.1_ASM97362v1
"Defluviimonas alba","cai42",52274,SAMN03956960 ,PRJNA291966,"Proteobacteria","Alphaproteobacteria",GCA_001620265.1 ,4.98761,66.5215,chromosome:NZ_CP012661.1/CP012661.1; plasmid cai42_plasmidA:NZ_CP012662.1/CP012662.1; plasmid cai42_plasmidB:NZ_CP012663.1/CP012663.1; plasmid cai42_plasmidC:NZ_CP012664.1/CP012664.1,-,4,4814,4248,2016/04/15,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/620/265/GCF_001620265.1_ASM162026v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/620/265/GCA_001620265.1_ASM162026v1
"Geobacter anodireducens","SD-1",19329,SAMN04562549 ,PRJNA315482,"Proteobacteria","delta/epsilon subdivisions",GCA_001628815.1 ,3.66601,61.5106,chromosome:NZ_CP014963.1/CP014963.1; plasmid pSD:NZ_CP014964.1/CP014964.1,-,2,3434,2802,2016/04/22,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/628/815/GCF_001628815.1_ASM162881v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/628/815/GCA_001628815.1_ASM162881v1
"Erythrobacter atlanticus","s21-N3",38875,SAMN03565637 ,PRJNA241282,"Proteobacteria","Alphaproteobacteria",GCA_001077815.2 ,3.22636,58.3525,chromosome:NZ_CP011310.1/CP011310.1; plasmid unnamed:NZ_CP015441.1/CP015441.1,-,2,3147,3034,2015/07/14,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/077/815/GCF_001077815.2_ASM107781v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/077/815/GCA_001077815.2_ASM107781v2
"Moraxella ovis","199/55",32029,SAMN03455375 ,PRJNA280058,"Proteobacteria","Gammaproteobacteria",GCA_001636015.1 ,2.3061,45.3015,chromosome:NZ_CP011158.1/CP011158.1; plasmid pMOV1:NZ_CP011159.1/CP011159.1,-,2,2224,2085,2016/05/02,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/636/015/GCF_001636015.1_ASM163601v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/636/015/GCA_001636015.1_ASM163601v1
"Azospirillum humicireducens","SgZ-5",19802,SAMN04858219 ,PRJNA318554,"Proteobacteria","Alphaproteobacteria",GCA_001639105.1 ,3.18162,67.5,chromosome:NZ_CP015285.1/CP015285.1,-,1,2935,2846,2016/05/06,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/639/105/GCF_001639105.1_ASM163910v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/639/105/GCA_001639105.1_ASM163910v1
"Dyella thiooxydans","ATSB10",21678,SAMN04433089 ,PRJNA309454,"Proteobacteria","Gammaproteobacteria",GCA_001641285.1 ,4.22717,68,chromosome:NZ_CP014841.1/CP014841.1,-,1,3793,3705,2016/05/10,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/641/285/GCF_001641285.1_ASM164128v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/641/285/GCA_001641285.1_ASM164128v1
"Pseudomonas antarctica","PAMC 27494",19546,SAMN04957524 ,PRJNA320790,"Proteobacteria","Gammaproteobacteria",GCA_001647715.1 ,6.60704,59.648,chromosome:NZ_CP015600.1/CP015600.1; plasmid pP27494_1:NZ_CP015601.1/CP015601.1; plasmid pP27494_2:NZ_CP015602.1/CP015602.1,-,3,6208,5951,2016/05/19,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/647/715/GCF_001647715.1_ASM164771v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/647/715/GCA_001647715.1_ASM164771v1
"Polynucleobacter asymbioticus QLW-P1DMWA-1","QLW-P1DMWA-1",51015,SAMN02598371 ,PRJNA16679,"Proteobacteria","Betaproteobacteria",GCA_000016345.1 ,2.15949,44.8,chromosome:NC_009379.1/CP000655.1,-,1,2167,2113,2007/04/12,2017/03/30,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/345/GCF_000016345.1_ASM1634v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/016/345/GCA_000016345.1_ASM1634v1
"Ochrobactrum pseudogrignonense","K8",21798,SAMN04994838 ,PRJNA321461,"Proteobacteria","Alphaproteobacteria",GCA_001652485.1 ,4.9928,53.7131,chromosome 1:NZ_CP015775.1/CP015775.1; chromosome 2:NZ_CP015776.1/CP015776.1,-,2,4751,4577,2016/05/26,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/652/485/GCF_001652485.1_ASM165248v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/652/485/GCA_001652485.1_ASM165248v1
"Ralstonia insidiosa","FC1138",19471,SAMN03795175 ,PRJNA288137,"Proteobacteria","Betaproteobacteria",GCA_001653935.1 ,5.98776,63.6454,chromosome 1:NZ_CP012605.1/CP012605.1; chromosome 2:NZ_CP012606.1/CP012606.1; plasmid unnamed:NZ_CP012607.1/CP012607.1,-,3,5639,5365,2016/06/01,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/653/935/GCF_001653935.1_ASM165393v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/653/935/GCA_001653935.1_ASM165393v1
"Croceicoccus marinus","E4A9",52367,SAMN05176185 ,PRJNA322659,"Proteobacteria","Alphaproteobacteria",GCA_001661675.2 ,4.10919,64.5058,chromosome:NZ_CP019602.1/CP019602.1; plasmid pCME4A9I:NZ_CP019603.1/CP019603.1; plasmid pCME4A9II:NZ_CP019604.1/CP019604.1,-,3,3842,3653,2017/01/19,2017/06/15,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/675/GCF_001661675.2_ASM166167v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/661/675/GCA_001661675.2_ASM166167v2
"Altererythrobacter ishigakiensis","NBRC 107699",52353,SAMN04870883 ,PRJNA319016,"Proteobacteria","Alphaproteobacteria",GCA_001663155.1 ,2.67398,56.9,chromosome:NZ_CP015963.1/CP015963.1,-,1,2593,2533,2016/06/15,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/155/GCF_001663155.1_ASM166315v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/155/GCA_001663155.1_ASM166315v1
"Porphyrobacter neustonensis","DSM 9434",53409,SAMN05176187 ,PRJNA322640,"Proteobacteria","Alphaproteobacteria",GCA_001663175.1 ,3.09036,65.3,chromosome:NZ_CP016033.1/CP016033.1,-,1,2886,2804,2016/06/15,2017/04/12,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/663/175/GCF_001663175.1_ASM166317v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/663/175/GCA_001663175.1_ASM166317v1
"Rhizobiales bacterium NRL2","",-,SAMN05248104 ,PRJNA244670,"Proteobacteria","Alphaproteobacteria",GCA_001664005.1 ,4.70067,67.1,chromosome:CP016093.1,-,1,4406,4323,2016/06/17,2016/06/17,Complete Genome,-,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/664/005/GCA_001664005.1_ASM166400v1
"Orrella dioscoreae","",51877,SAMEA4026966 ,PRJEB13663,"Proteobacteria","Betaproteobacteria",GCA_900089455.2 ,4.8481,67.4,chromosome I:NZ_LT907988.1/LT907988.1,-,1,4432,4333,2017/10/11,2017/10/18,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/089/455/GCF_900089455.2_OrrDiv2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/089/455/GCA_900089455.2_OrrDiv2
"Acinetobacter lactucae","OTEC-02",21985,SAMN06215789 ,PRJNA360843,"Proteobacteria","Gammaproteobacteria",GCA_002076935.1 ,3.98171,38.8,chromosome:NZ_CP020015.1/CP020015.1,-,1,3778,3586,2017/04/03,2017/04/05,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/076/935/GCF_002076935.1_ASM207693v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/076/935/GCA_002076935.1_ASM207693v1
"Bordetella flabilis","AU10664",51875,SAMN05257178 ,PRJNA318508,"Proteobacteria","Betaproteobacteria",GCA_001676725.1 ,5.95432,65.9427,chromosome:NZ_CP016172.1/CP016172.1; plasmid unnamed1:NZ_CP016173.1/CP016173.1,-,2,5372,5238,2016/06/27,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/676/725/GCF_001676725.1_ASM167672v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/676/725/GCA_001676725.1_ASM167672v1
"Woeseia oceani","XK5",51763,SAMN05285282 ,PRJNA326567,"Proteobacteria","Gammaproteobacteria",GCA_001677435.1 ,4.05989,57.8,chromosome:NZ_CP016268.1/CP016268.1,-,1,3655,3572,2016/06/30,2017/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/677/435/GCF_001677435.1_ASM167743v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/677/435/GCA_001677435.1_ASM167743v1
"Pseudomonas cerasi","",19543,SAMEA3894894 ,PRJEB12896,"Proteobacteria","Gammaproteobacteria",GCA_900074915.1 ,6.34526,58.7466,chromosome 1:NZ_LT222319.1/LT222319.1; plasmid p58T1:NZ_LT222313.1/LT222313.1; plasmid p58T2:NZ_LT222314.1/LT222314.1; plasmid p58T3:NZ_LT222315.1/LT222315.1; plasmid p58T4:NZ_LT222316.1/LT222316.1; plasmid p58T5:NZ_LT222317.1/LT222317.1; plasmid p58T6:NZ_LT222318.1/LT222318.1,-,7,5975,5478,2016/06/30,2017/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/074/915/GCF_900074915.1_PCPL58T,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/074/915/GCA_900074915.1_PCPL58T
"Alteromonas naphthalenivorans","SN2",19588,SAMN02603134 ,PRJNA59947,"Proteobacteria","Gammaproteobacteria",GCA_000213655.1 ,4.97215,43.5,chromosome:NC_015554.1/CP002339.1,-,1,4373,4202,2011/05/13,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/655/GCF_000213655.1_ASM21365v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/213/655/GCA_000213655.1_ASM21365v1
"Bordetella bronchialis","AU3182",51875,SAMN05257177 ,PRJNA318508,"Proteobacteria","Betaproteobacteria",GCA_001676705.1 ,5.87876,67.3,chromosome:NZ_CP016170.1/CP016170.1,-,1,5226,5084,2016/06/27,2017/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/676/705/GCF_001676705.1_ASM167670v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/676/705/GCA_001676705.1_ASM167670v1
"Caulobacteraceae bacterium OTSz_A_272","OTSz_A_272",53239,SAMN04279642 ,PRJNA302799,"Proteobacteria","Alphaproteobacteria",GCA_001679665.1 ,3.73272,61.5,chromosome:NZ_CP013244.1/CP013244.1,-,1,3874,3786,2016/07/05,2017/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/679/665/GCF_001679665.1_ASM167966v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/679/665/GCA_001679665.1_ASM167966v1
"Azoarcus olearius","DQS4",19381,SAMN03468107 ,PRJNA280719,"Proteobacteria","Betaproteobacteria",GCA_001682385.1 ,4.45175,67.8,chromosome:NZ_CP016210.1/CP016210.1,-,1,4094,4005,2016/07/08,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/682/385/GCF_001682385.1_ASM168238v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/682/385/GCA_001682385.1_ASM168238v1
"Burkholderia stabilis","ATCC BAA-67",19463,SAMN05367054 ,PRJNA328254,"Proteobacteria","Betaproteobacteria",GCA_001742165.1 ,8.52795,66.4094,chromosome 1:NZ_CP016442.1/CP016442.1; chromosome 2:NZ_CP016443.1/CP016443.1; chromosome 3:NZ_CP016444.1/CP016444.1,-,3,7946,7510,2016/09/22,2017/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/742/165/GCF_001742165.1_ASM174216v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/742/165/GCA_001742165.1_ASM174216v1
"Altererythrobacter namhicola","JCM 16345",52363,SAMN04870533 ,PRJNA319016,"Proteobacteria","Alphaproteobacteria",GCA_001687545.1 ,2.59168,65,chromosome:NZ_CP016545.1/CP016545.1,-,1,2534,2472,2016/07/20,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/687/545/GCF_001687545.1_ASM168754v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/687/545/GCA_001687545.1_ASM168754v1
"Burkholderiales bacterium YL45","YL45",53066,SAMN04621614 ,PRJNA317592,"Proteobacteria","Betaproteobacteria",GCA_001688905.2 ,2.92311,44.1,chromosome:NZ_CP015403.2/CP015403.2,-,1,2646,2500,2016/07/20,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/688/905/GCF_001688905.2_ASM168890v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/688/905/GCA_001688905.2_ASM168890v2
"Yangia sp. CCB-MM3","CCB-MM3",54353,SAMN04450249 ,PRJNA310305,"Proteobacteria","Alphaproteobacteria",GCA_001687105.1 ,5.52206,64.9399,chromosome 1:NZ_CP014595.1/CP014595.1; chromosome 2:NZ_CP014596.1/CP014596.1; plasmid unnamed1:NZ_CP014597.1/CP014597.1; plasmid unnamed2:NZ_CP014598.1/CP014598.1; plasmid unnamed3:NZ_CP014599.1/CP014599.1; plasmid unnamed4:NZ_CP014600.1/CP014600.1; plasmid unnamed5:NZ_CP014601.1/CP014601.1,-,7,5092,4931,2016/07/18,2017/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/687/105/GCF_001687105.1_ASM168710v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/687/105/GCA_001687105.1_ASM168710v1
"secondary endosymbiont of Trabutina mannipara","",52988,SAMEA3935976 ,PRJEB13573,"Proteobacteria","Gammaproteobacteria",GCA_900090215.1 ,0.298471,32.6,chromosome I:NZ_LT594522.1/LT594522.1,-,1,303,237,2016/07/16,2017/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/090/215/GCF_900090215.1_TRABTM,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/090/215/GCA_900090215.1_TRABTM
"Bradyrhizobium icense","LMTR 13",50741,SAMN05230120 ,PRJNA325367,"Proteobacteria","Alphaproteobacteria",GCA_001693385.1 ,8.32277,62,chromosome:NZ_CP016428.1/CP016428.1,-,1,7868,7456,2016/07/25,2017/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/693/385/GCF_001693385.1_ASM169338v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/693/385/GCA_001693385.1_ASM169338v1
"Desulfuromonas soudanensis","WTL",40052,SAMN03287929 ,PRJNA272946,"Proteobacteria","delta/epsilon subdivisions",GCA_001278055.1 ,3.95862,61.2,chromosome:NZ_CP010802.1/CP010802.1,-,1,3575,3454,2015/09/02,2017/09/25,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/278/055/GCF_001278055.1_ASM127805v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/278/055/GCA_001278055.1_ASM127805v1
"Immundisolibacter cernigliae","TR3.2",52997,SAMN04528780 ,PRJNA314077,"Proteobacteria","Gammaproteobacteria",GCA_001697225.1 ,3.24354,67.8,chromosome:NZ_CP014671.1/CP014671.1,-,1,3087,2963,2016/08/02,2017/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/697/225/GCF_001697225.1_ASM169722v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/697/225/GCA_001697225.1_ASM169722v1
"Altererythrobacter dongtanensis","KCTC 22672",52364,SAMN04870882 ,PRJNA319016,"Proteobacteria","Alphaproteobacteria",GCA_001698205.1 ,3.00949,65.8,chromosome:NZ_CP016591.1/CP016591.1,-,1,2932,2855,2016/08/02,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/698/205/GCF_001698205.1_ASM169820v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/698/205/GCA_001698205.1_ASM169820v1
"Kangiella sediminilitoris","KCTC 23892",51815,SAMN03997282 ,PRJNA293128,"Proteobacteria","Gammaproteobacteria",GCA_001708405.1 ,2.49614,43.4,chromosome:NZ_CP012418.1/CP012418.1,-,1,2367,2305,2016/08/23,2017/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/708/405/GCF_001708405.1_ASM170840v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/708/405/GCA_001708405.1_ASM170840v1
"Sphingomonas panacis","DCY99",52396,SAMN04417200 ,PRJNA308882,"Proteobacteria","Alphaproteobacteria",GCA_001717955.1 ,5.32294,65.5201,chromosome:NZ_CP014168.1/CP014168.1; plasmid unnamed:NZ_CP014169.1/CP014169.1,-,2,4904,4734,2016/09/01,2017/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/717/955/GCF_001717955.1_ASM171795v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/717/955/GCA_001717955.1_ASM171795v1
"Burkholderia metallica","FL-6-5-30-S1-D7",19463,SAMN03449247 ,PRJNA279182,"Proteobacteria","Betaproteobacteria",GCA_001718555.1 ,7.42424,67.1235,chromosome 1:NZ_CP013401.1/CP013401.1; chromosome 2:NZ_CP013403.1/CP013403.1; chromosome 3:NZ_CP013402.1/CP013402.1,-,3,6827,6491,2016/09/02,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/718/555/GCF_001718555.1_ASM171855v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/718/555/GCA_001718555.1_ASM171855v1
"Xenorhabdus hominickii","ANU1",53061,SAMN05207277 ,PRJNA324515,"Proteobacteria","Gammaproteobacteria",GCA_001721185.1 ,4.5227,43.4,chromosome:NZ_CP016176.1/CP016176.1,-,1,4207,3820,2016/09/07,2017/04/17,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/721/185/GCF_001721185.1_ASM172118v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/721/185/GCA_001721185.1_ASM172118v1
"Pectobacterium parmentieri WPP163","WPP163",19680,SAMN02598479 ,PRJNA31293,"Proteobacteria","Gammaproteobacteria",GCA_000024645.1 ,5.06389,50.5,chromosome:NC_013421.1/CP001790.1,-,1,4690,4423,2009/10/20,2017/09/03,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/024/645/GCF_000024645.1_ASM2464v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/024/645/GCA_000024645.1_ASM2464v1
"Jeongeupia sp. USM3","USM3",53093,SAMN05862066 ,PRJNA345402,"Proteobacteria","Betaproteobacteria",GCA_001808185.1 ,3.78881,65.4,chromosome:NZ_CP017668.1/CP017668.1,-,1,3594,3455,2016/10/21,2017/04/13,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/808/185/GCF_001808185.1_ASM180818v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/808/185/GCA_001808185.1_ASM180818v1
"Hafnia sp. CBA7124","CBA7124",19663,SAMD00051861 ,PRJDB4840,"Proteobacteria","Gammaproteobacteria",GCA_002355555.1 ,4.5853,48.8,chromosome:NZ_AP017469.1/AP017469.1,-,1,4161,3983,2016/06/01,2017/09/27,Complete Genome,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/355/555/GCF_002355555.1_ASM235555v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/355/555/GCA_002355555.1_ASM235555v1
